Female,Male,Cultivar
Pioneer P93Y70,Pioneer P93Y20,Pioneer P93Y43
IA3017,Pioneer P93M60,Pioneer P93Y50
Pioneer P93M50,Pioneer P93M11,Pioneer P93Y51
Pioneer P93B87,N05916,Pioneer P93Y52
Pioneer P93M52,EX32K06,Pioneer P93Y53
Pioneer P93M92,Pioneer P93M50,Pioneer P93Y60
Pioneer P93B86,Pioneer P92M70,Pioneer P93Y70
Pioneer P93B86,SP3449336,Pioneer P93Y71
Pioneer P93B86,Pioneer P92M70,Pioneer P93Y72
Pioneer P93Y70,YB26Y06,Pioneer P93Y73
Pioneer P93B09,Pioneer P93B67,Pioneer P93Y80
Pioneer P93B86,Pioneer P94B54,Pioneer P93Y81
Pioneer P93M90,Pioneer P93M51,Pioneer P93Y82
Pioneer P93B86,Syngenta S38-T8,Pioneer P93Y83
Pioneer P93M51,RJS34001,Pioneer P93Y84
Pioneer P93B86,YB37Y00,Pioneer P93Y90
Pioneer P93B87,Pioneer P93M90,Pioneer P93Y91
Pioneer P93B86,HL3060483,Pioneer P93Y92
Pioneer P93B87,Pioneer P93M11,Pioneer P93Y93
Unspecified,Unspecified,Pioneer P9401
(L77-994*Asgrow A3127),L77-994,Pioneer P9402
(Williams 79*Asgrow A3127),Asgrow A3127,Pioneer P9411
Pioneer P9361,Pioneer P9442,Pioneer P9412
(W20*Asgrow A3935),Pioneer P9392,Pioneer P9421
Williams,Essex,Pioneer P9441
Pioneer P9441,Asgrow A3127,Pioneer P9442
Douglas,Fayette,Pioneer P9443
Unspecified,Unspecified,Pioneer P9444
Pioneer P9571,Pioneer P9402,Pioneer P9451
Syngneta S42-30,Asgrow A3803,Pioneer P9452
(0351-29*Asgrow A4268),(9401*Asgrow A3127),Pioneer P9461
Williams,Essex,Pioneer P9471
Asgrow A4595,Asgrow A4009,Pioneer P9472
(Pioneer P4280*Fayette),Asgrow A4715,Pioneer P9481
Pioneer P9501,Pioneer P9301,Pioneer P9482
Asgrow A5474,Pioneer P9292,Pioneer P9491
Asgrow A4715 (2),(Pioneer P9392 (2)*MON40-3-2),Pioneer P9492
Asgrow A4715,(Pioneer P9362*(Pioneer 9392 (2)*MON40-3-2)),Pioneer P94B01
(Pioneer P9362*(Pioneer 9444*G40-3P9341)),Asgrow A3834,Pioneer P94B13
Asgrow A4138,(Pioneer P9312*Pioneer 9392),Pioneer P94B22
Pioneer P93B82,(Pioneer P9343 (2)*(Pioneer 9362 (2)*(Pioneer 9342*(Pioneer 9341 (2)*MON40-3-2)))),Pioneer P94B23
Pioneer P9362,((W20*Asgrow A3935)*Pioneer P9392),Pioneer P94B24
(Asgrow A3307*CM286N sib),(Pioneer P9362*(Pioneer 9392 (2)*MON40-3-2)),Pioneer P94B41
Asgrow A4138,(Pioneer P9362 (2)*(Pioneer 9342*(Pioneer 9341 (2)*MON40-3-2))),Pioneer P94B45
Asgrow A4715,Corsica,Pioneer P94B53
Pioneer P94B01,Asgrow A3834,Pioneer P94B54
(Pioneer P9273*((MO304BR*Asgrow A3127)*(Asgrow 3733*Resnik))),(Asgrow A3237*(Pioneer P9362*MON40-3-2)),Pioneer P94B73
Pioneer P93B82,(Asgrow A4715*(Pioneer P9392*G40-3P9392)),Pioneer P94B74
Pioneer P9584,(Pioneer P9444*(Pioneer 9431 (2)*MON40-3-2)),Pioneer P94B81
Pioneer P93B82,(Pioneer P9362 (3)*G40-3P9392),Pioneer P94M30
(Pioneer P93B66*Pioneer 93B87),Pioneer P94B23,Pioneer P94M31
Pioneer P9421,(Pioneer P9362 (3)*G40-3P9392),Pioneer P94M40
Pioneer P93B82,(Asgrow A4715*(Pioneer P9392*G40-3P9392)),Pioneer P94M41
(CX469c*Pioneer P9451),(Syngenta S42-60*Pioneer P9492),Pioneer P94M50
Pioneer P93B82,(Asgrow A4715*(Pioneer P9392*G40-3P9392)),Pioneer P94M70
(CX469c*Pioneer P9451),(ST3680*Pioneer P94B45),Pioneer P94M71
Pioneer P94B53,((Pioneer P9362*Pioneer 9444)*(Syngenta S42-60*Pioneer 9492)),Pioneer P94M80
CM428,Pioneer P94B01,Pioneer P94M90
T00038H005,XB37C02,Pioneer P94Y01
Pioneer P93M94,Pioneer P93M90,Pioneer P94Y02
31713H013,Pioneer P94M70,Pioneer P94Y10
YB36V00,Pioneer P94M70,Pioneer P94Y20
YB42G,Syngenta S30-J2,Pioneer P94Y21
Pioneer P93M42,YB39X03,Pioneer P94Y22
Pioneer P93Y70,XB39W06,Pioneer P94Y23
Pioneer P93B87,Pioneer P94M50,Pioneer P94Y30
Pioneer P93M11,XB44W04,Pioneer P94Y40
Pioneer P93B86,H04433,Pioneer P94Y50
Pioneer P93B82,XB43J,Pioneer P94Y60
YB48M01,Pioneer P93M42,Pioneer P94Y61
Pioneer P93B86,H04433,Pioneer P94Y70
Pioneer P93M90,Pioneer P94M90,Pioneer P94Y71
((Pioneer P4280*Fayette)*Asgrow A4715),((((Pioneer P4280*Fayette)*Asgrow A4715)*Asgrow 3431)*Pioneer 94B73),Pioneer P94Y80
YB48M01,Pioneer P94M90,Pioneer P94Y81
YB48M01,Pioneer P94B73,Pioneer P94Y82
Pioneer P93B86,H04433,Pioneer P94Y90
Pioneer P93B68,Pioneer P94M90,Pioneer P94Y91
Pioneer P93M42,Pioneer P94M90,Pioneer P94Y92
((Swift*Williams)*3481),((Williams*GP9)*Pioneer P4280),Pioneer P9501
RA452,Pioneer P9391,Pioneer P9511
Pioneer P9531,Pioneer P9561,Pioneer P9521
Centennial,(Pickett 71*J74-45),Pioneer P9531
Unspecified,Unspecified,Pioneer P9541
J74-45,1095C42,Pioneer P9551
Pioneer P9591,Pioneer P9531,Pioneer P9552
Mack,Forrest,Pioneer P9561
(Mack*Forrest),J74-90,Pioneer P9581
(Centennial*Bedford),D77-5090,Pioneer P9582
Pioneer P9591,Pioneer P9471,Pioneer P9583
(Pioneer P5482*Centennial),Pioneer P9561,Pioneer P9584
Essex,York,Pioneer P9591
Pioneer P9561,(Asgrow A5618*Pioneer P9561),Pioneer P9592
2177-57,Pioneer P9561,Pioneer P9593
Pioneer P9592,Asgrow A6297,Pioneer P9594
Asgrow A5979,(Asgrow A4715 (2)*(Pioneer P9392 (2)*MON40-3-2)),Pioneer P95B32
Unspecified,Unspecified,Pioneer P95B33
Hutcheson,(Pioneer P8798*(Pioneer 8683*(Pioneer 9593*W20)*Pioneer 9593 (2))),Pioneer P95B34
Pioneer P9584,(Asgrow A4715*(Pioneer P9392 (2)*MON40-3-2)),Pioneer P95B41
Pioneer P95B33,Pioneer P95B32,Pioneer P95B42
Pioneer P95B33,YB54D,Pioneer P95B43
Asgrow A5979,(Pioneer P9551 (2)*(Asgrow A4715*(Pioneer 9392 (2)*MON40-3-2))),Pioneer P95B53
Pioneer P9584,(Pioneer P9544*(Pioneer 9341 (2)*MON40-3-2)),Pioneer P95B71
Pioneer P9594 (2),(Pioneer P9584*(Asgrow A4715*(Pioneer 9392 (2)*MON40-3-2))),Pioneer P95B95
Pioneer P9594 (3),((Hutcheson*(Pioneer P9584*(Asgrow A4715*(Pioneer 9392 (2)*MON40-3-2)))),Pioneer P95B96
Asgrow A5979,Syngenta S5960,Pioneer P95B97
(Hutcheson*((Pioneer P9593*W20)*Pioneer 9593 (2))),Pioneer P95B53,Pioneer P95M30
DPL 9371S,(Pioneer P9594 (3)*(Hutcheson*(Pioneer 9551 (2)*(Asgrow A4715*G40-3P9392)))),Pioneer P95M50
Fowler,Pioneer P95B95,Pioneer P95M60
Pioneer P95B33,(Asgrow A5979*(Pioneer P9584*(Asgrow 4715*G40-3P9392))),Pioneer P95M80
Pioneer P9631,Pioneer P96B21,Pioneer P95M81
((Pioneer P9582*(((Mack*Forrest)*J74-45)*Epps))*(Pioneer 9591*((Forrest*Tracy)*(Mack*Forrest))),(Pioneer P9594 (2)*(Pioneer 9584*(Asgrow A4715*G40-3P9392))),Pioneer P95M82
Pioneer P9482,Pioneer P94B73,Pioneer P95R51
YB48M01,Pioneer P94B54,Pioneer P95Y01
YB48M01,Pioneer P93M42,Pioneer P95Y10
70653G003,YB54N02,Pioneer P95Y20
Pioneer P94M70,Pioneer P94M90,Pioneer P95Y21
71557T001,Pioneer P95B43,Pioneer P95Y30
Pioneer P95M30,Pioneer P95M50,Pioneer P95Y31
Pioneer P93B86,G00167G017,Pioneer P95Y40
71026G005,YB54M02,Pioneer P95Y41
ZB58A03,YB56G03,Pioneer P95Y50
EX55Q05,Pioneer P95M60,Pioneer P95Y60
EX55N04,Pioneer P95B42,Pioneer P95Y61
Pioneer P95B34,Pioneer P95B96,Pioneer P95Y70
ZB58A03,YB56G03,Pioneer P95Y71
Pioneer P95B96,XB59U04,Pioneer P95Y80
Pioneer P9592,((Pioneer P9561*Asgrow A5618)*(Forrest*Essex)),Pioneer P9611
Unspecified,Unspecified,Pioneer P9631
Essex,Davis,Pioneer P9641
((((Centennial*D73-4124)*(Pioneer P5482*Centennial))*W20)*((Centennial*D73-4124)*(Pioneer 5482*Centennial))),((Centennial*(Mack*Dare))*(Dare*Tracy)),Pioneer P9671
Unspecified,Unspecified,Pioneer P9681
Forrest,Pickett 71,Pioneer P9691
Unspecified,Unspecified,Pioneer P9692
Asgrow A5979,(Pioneer P9584*(Asgrow A4715*(Pioneer 9392 (2)*MON40-3-2))),Pioneer P96B01
Pioneer P9594 (2),(Pioneer P9584*(Asgrow A4715*(Pioneer 9392 (2)*MON40-3-2))),Pioneer P96B21
Pioneer P9631 (2),(Pioneer P9551*(Pioneer 9444*(Pioneer 9341 (2)*MON40-3-2))),Pioneer P96B32
Asgrow A5979,S6266,Pioneer P96B51
Pioneer P9631,(Hutcheson (2)*(Pioneer P9551 (2)*(Asgrow A4715*G40-3P9392))),Pioneer P96M20
Pioneer P9631,Pioneer P95B95,Pioneer P96M60
Centennial,Pioneer P9571,Pioneer P9711
Pioneer P9791,Pioneer P9751,Pioneer P9721
Centennial,Braxton,Pioneer P9751
2178-33,2029-14,Pioneer P9761
GaSoy 17,Tracy,Pioneer P9791
Pioneer P97B61,(Pioneer P9584*(Asgrow A4715*(Pioneer 9392 (2)*MON40-3-2))),Pioneer P97B52
Asgrow A6297,Pioneer P9711,Pioneer P97B61
Pioneer P9761,Hagood,Pioneer P97B62
G93-2225 (5),(G93-225*((Benning (4)*(Resnik (2)*RR))),Pioneer P97M50
Virtuosa,YB82D05,Pioneer P97R01
Vmax,YB83L06,Pioneer P97R21
Luziania,Pioneer P98Y11,Pioneer P97R71
2076-18,2032-14,Pioneer P9831
Pintado,Pioneer P96B32,Pioneer P98Y11
Pintado,Pioneer P95B43,Pioneer P98Y12
Wayne,Harosoy,PL 6712424
Grant,Wayne,PL 6940104
(Chippewa 64 (3)*D61-5141),Dare,PL 70-10546D
Amsoy,Wayne,PL 707743
Corsoy,Amsoy,PL 72-3176L
(Chippewa 64 (3)*D61-5141),Dare,PL709947
Corsoy,Amsoy,PL723299L
Corsoy,Beeson,Pontiac
Unspecified,Unspecified,PRN-82
Norpro,Kato,ProSoy
HS98-3409,HS99-5021,PSC37BU06
Corsoy (2),Hark,PX 181-88
Corsoy (2),Beeson,PX 185-44
Unspecified,Unspecified,PX181-88A
XB22D,13007,R00302
Pioneer P90B43,12223R006,R02322
Pioneer P9091,Pioneer P91B02,R02416
Pioneer P93B82,Pioneer P90B72,R03171RE
21030R017,R02416,R03210RE
YB009A99,Pioneer P91B12,R03809
YB17K99,XB16H,R03893
Pioneer P92B52,Pioneer P90B51,R05331
Pioneer P91B42,Pioneer P92B14,R05686
Unspecified,Unspecified,RA401
Adelphia,Bonus,RA402
Sb128 (b)4,((N701501*D728867A)*SB117 (a)1)*(Mitchell*Columbus)),RA403
Sb128 (b)4,((N701501*Dare 728867A)*SB117 (a)1)*(Mitchell*Columbus)),RA405
Unspecified,Unspecified,RA427
SX-441,MO74-50416,RA451
Mack,L62-1251,RA480
Williams,Essex,RA481
Mack,L62-1251,RA501A
RA527,Syngenta RA603,RA502
Unspecified,Unspecified,RA526
Unspecified,Unspecified,RA527
D69-8001,SB168,RA580
Mack,L62-1251,RA601
Unspecified,Unspecified,RA603
Hutton,Forrest,RA604
Cross IV (a) 160,RA-528,RA606
Centennial,D72-8867A,RA680
Unspecified,Unspecified,RA701
Unspecified,Unspecified,RA800
Surge,Syngenta S25-J5,RF5100790
Traill (3),(Council*Resnik),RG200GT
Barnes (3),(Council*ResnikRR),RG405RR
Unspecified,Unspecified,RG6008RR
RG200RR,RG405RR,RG600RR
Walsh (3),(Council (2)*ResnikRR),RG601NRR
Unspecified,Unspecified,RG603RR
Walsh,RG200RR,RG604RR
SD1091RR,Barnes,RG607GT
RG200RR,ND95-6634,RG7008RR
Unspecified,Unspecified,Riverside 2021
Williams,Corsoy,Riverside 2025
Calland,B216,Riverside 303C
YB01D05,Pioneer P90M20,RJS00003
YB01D05,YB007D03,RJS00801
Pioneer P91M10,R05331,RJS00901
YB01D05,Pioneer P90M20,RJS00902
YB009A99,R03809,RJS01001
YB009A99,Pioneer P91B03,RJS03001
Pioneer P91M10,Pioneer P90M01,RJS03003
RCAT Wildcat,D09233,RJS04001
Pioneer P91M10,Pioneer P90M60,RJS04002
Pioneer P90Y50,Pioneer P90Y90,RJS04004R
Unspecified,Unspecified,RJS04005R
Pioneer P91M10,Pioneer P90M20,RJS05002
YB09Q05,Pioneer P91M30,RJS05003
Unspecified,Unspecified,RJS05005R
Unspecified,Unspecified,RJS05006R
Unspecified,Unspecified,RJS06002
Pioneer P90M80,Pioneer P90M60,RJS06008
Pioneer P92M91,Pioneer P90M60,RJS07002
Pioneer P91M10,Pioneer P90M90,RJS08001
YB07M04,Pioneer P90M60,RJS08005
Unspecified,Unspecified,RJS08014R
Unspecified,Unspecified,RJS09002
Pioneer P91M10,Pioneer P90M60,RJS09004
AMK0702D0C,MK0907C1-A0YN,RJS09007R2
Pioneer P92M91,Pioneer P90M60,RJS10001
Unspecified,Unspecified,RJS10005R
Unspecified,Unspecified,RJS10006R
Pioneer P91B42,Pioneer P92B13,RJS11001
ZB09H02,Pioneer P90M60,RJS11002
Pioneer P91M01,Pioneer P90M91,RJS11003
Pioneer P91M10,Pioneer P90M91,RJS12002
Pioneer P91B42,R05686,RJS13001
Pioneer P91M10,C05526R002,RJS14001
Pioneer P90M60,Pioneer P91M80,RJS14002
EX21Q04,Pioneer P90M60,RJS14003
Pioneer P92Y31,Pioneer P92Y11,RJS14006R
Pioneer P91B42,Pioneer P92B13,RJS15001
YB15K99,Pioneer P92B38,RJS15002
XB23Y02,Pioneer P91B33,RJS15003
ZB22F04,XB08P05,RJS15004
Pioneer P92M72,Pioneer P92M02,RJS15005
Unspecified,Unspecified,RJS15011R
Pioneer P91M30,Pioneer P90M60,RJS16003
Unspecified,Unspecified,RJS16006R
ZB24J03,XB22C04,RJS17001
Pioneer P92M22,Pioneer P91M51,RJS17002
Pioneer P91M10,Pioneer P91M30,RJS17003
XB21R05,YB20S02,RJS17004
Pioneer P92B12,L03610,RJS18001
YB22S00,Pioneer P92B13,RJS18002
Pioneer P91B42,XB29K04,RJS18003
Pioneer P91B42,N01525R013,RJS18004
Pioneer P92M22,XB19V06,RJS18005
Pioneer P92M54,RJS18004,RJS18007R
Unspecified,Unspecified,RJS18011R
Pioneer P92Y11,Pioneer P91Y72,RJS18012R
Pioneer P92M22,Pioneer P91M11,RJS19003
Pioneer P92M01,DP9422453,RJS19004
XB23W03,Pioneer P90M60,RJS19005
Pioneer P92M35,Pioneer P92M40,RJS20001
Unspecified,Unspecified,RJS20006R
XB23Y02,Pioneer P92M33,RJS21004
Pioneer P92M33,CA14387615,RJS21005
Pioneer P92M54,Pioneer P93Y05,RJS21007R
YB21G01,Pioneer P92B38,RJS22002
RJS30006,YB28E09,RJS22009R
Pioneer P92B12,YB26V01,RJS23001
Syngenta S32-Z3,Pioneer P92M40,RJS23002
Pioneer P93M11,Pioneer P92M21,RJS24002
Pioneer P92M54,Pioneer P93Y11,RJS24003
Pioneer P92M54,RJS28004,RJS24006R
Unspecified,Unspecified,RJS24008R
Pioneer P92B12,YB32K01,RJS25001
LP3442228,Pioneer P93M10,RJS25004
Pioneer P92M61,Pioneer P92M21,RJS25005
Unspecified,Unspecified,RJS25006
Pioneer P92M54,Pioneer P93Y05,RJS25007R
Pioneer P93B86,Pioneer P92M50,RJS26001
Pioneer P92M54,Pioneer P92M75,RJS26003
Pioneer P93Y22,Pioneer P93Y05,RJS26004R
Unspecified,Unspecified,RJS26009R
XB25S05,Pioneer P93B09,RJS27002
Pioneer P92M91,Pioneer P92M33,RJS27004
XB30E07,Pioneer P92M91,RJS27005
Pioneer P92M54,Pioneer P93M11,RJS27006
Pioneer P92M54,RJS28004,RJS27007
Pioneer P92B12,Pioneer P93B09,RJS28001
Pioneer P92M72,Pioneer P93B68,RJS28002
Pioneer P92M72,Pioneer P93B09,RJS28004
XB27P04,Pioneer P93M11,RJS28005
Pioneer P93Y10,LP11865821,RJS28006
Pioneer P93Y13,Pioneer P92Y53,RJS28013R
XB23W03,Pioneer P92M91,RJS29001
ZB36H04,Pioneer P92M91,RJS29002
Pioneer P93M11,LP6083726,RJS29003
YB30K06,Pioneer P93M11,RJS29004
Pioneer P92M54,Pioneer P93Y02,RJS29005
XB30C10,Pioneer P93Y82,RJS29008R
Syngenta S32-Z3,XB38Y01,RJS30001
XB37L03,Pioneer P93M10,RJS30002
Pioneer P93M92,NP5851530,RJS30003
Pioneer P93B36,Pioneer P92M91,RJS30004
Pioneer P92M01,Pioneer P93M50,RJS30006
Pioneer P93Y22,Pioneer P93Y05,RJS30008R
Pioneer P93B86,Pioneer P93B85,RJS31001
Pioneer P93B87,L04210,RJS31002
YB36V00,N05977,RJS31003
Pioneer P93B86,Pioneer P92M91,RJS31004
Pioneer P93B86,Pioneer P92M33,RJS31005
Pioneer P93M50,YB34R03,RJS31006
Pioneer P93M50,XB31R04,RJS31009
YB26Y06,ZB31B07,RJS31010
Pioneer P93Y22,Pioneer P93Y05,RJS31014R
LP3442228,Pioneer P93M11,RJS32001
Pioneer P92M91,Pioneer P93M51,RJS32002
Pioneer P93M61,Pioneer P93Y11,RJS32004
Pioneer P93Y70,YB32E06,RJS32005
Pioneer P93M11,NP8089672,RJS32006
Pioneer P93M61,Pioneer P92M75,RJS32007
XB39B10,Pioneer P93Y82,RJS32009R
Pioneer P93Y05,YB28E09,RJS32010R
AG3803,BL3308A2-D0YN,RJS32013R2
CS 31R212N (2),A3525-A3244-BAH,RJS32014X
Unspecified,Unspecified,RJS32015R
Pioneer P93B87,N05402,RJS33001
YB36V00,JH4267591,RJS33002
Pioneer P93Y70,Pioneer P93M42,RJS33003
Pioneer P93Y40,Pioneer P94Y01,RJS33010R
Unspecified,Unspecified,RJS33013R
Pioneer P93B86,Pioneer P93B85,RJS34001
YB36V00,YB36X00,RJS34002
Pioneer P93M50,Pioneer P93M10,RJS34004
YB31J06,Pioneer P93Y11,RJS34005
Pioneer P93M61,YB26Y06,RJS34006
LP11969710,Pioneer P92Y70,RJS34007
Pioneer P93M61,YB26Y06,RJS34008
RJS30006,Pioneer P93Y40,RJS34010R
Pioneer P92Y70,Pioneer P93Y82,RJS34011R
Pioneer P93M50,XB35Q04,RJS35001
Pioneer P93M50,LP3442228,RJS35004
LP3442228,Pioneer P92M91,RJS35005
Pioneer P93B87,Pioneer P93M11,RJS35006
Pioneer P93Y70,Pioneer P93Y02,RJS35007
ZB30L05,Pioneer P93M61,RJS35008
Pioneer P93M61,DP17145891,RJS35009
AG3803,BL3408A1-D0YN,RJS35014R2
Pioneer P93M61,Pioneer P93Y92,RJS35015R
AG3231,AK3410T2-T0BAH,RJS35016X
Pioneer P93B86,Pioneer P93B85,RJS36001
BL3610D5-D0AAC,AG3803-T0BAH,RJS36008X
Unspecified,Unspecified,RJS36010X
Pioneer P93B87,PE3031531,RJS37001
Pioneer P93B86,XB37C02,RJS37002
Pioneer P93B09,Pioneer P93B67,RJS37004
Pioneer P93M50,Pioneer P93M11,RJS37005
Pioneer P93M50,Pioneer P93M51,RJS37006
Pioneer P93M61,RJS34001,RJS37007
Pioneer P93M61,RJS34001,RJS37008
Pioneer P93M61,Pioneer P93Y92,RJS37012R
Pioneer P94Y22,Pioneer P93Y92,RJS37015R
Unspecified,Unspecified,RJS37018R
Pioneer P93M93,Pioneer P93M11,RJS38001
Pioneer P92M72,Pioneer P94B54,RJS38002
Pioneer P93B87,DP3927359,RJS38003
Pioneer P93B87,Pioneer P93M11,RJS38005
Pioneer P94M30,Pioneer P93M51,RJS38006
Pioneer P93M61,Pioneer P94Y20,RJS38007
Pioneer P93M42,Pioneer P94Y20,RJS38008
XB38E06,Pioneer P93M42,RJS38009
Pioneer P93M61,Pioneer P94Y20,RJS38010
Pioneer P93M61,RJS34001,RJS38011
Pioneer P93M61,Pioneer P94Y01,RJS38012
Pioneer P93B86,Pioneer P93B68,RJS39001
Pioneer P93B86,YB37F02,RJS39002
Pioneer P93B67,K12021,RJS39003
Pioneer P93M61,Pioneer P93M95,RJS39005
Pioneer P92M70,XB49K04,RJS39006
Pioneer P94M30,YB34R03,RJS39007
Pioneer P93M61,Pioneer P94Y20,RJS39008
Pioneer P93Y92,Pioneer P93Y82,RJS39010R
Unspecified,Unspecified,RJS39013X
YB36V00,Pioneer P93M90,RJS40001
Pioneer P93B86,H04385,RJS40002
YB43U05,Pioneer P93M42,RJS40005
Pioneer P93B82,Pioneer P93M94,RJS40007
EX40U03,Pioneer P93M42,RJS40008
Pioneer P93M61,Pioneer P94Y20,RJS40009
Pioneer P94Y21,Pioneer P94Y01,RJS40010
RJS40001,YB38B08,RJS40014R
YB32J01,Pioneer P94B54,RJS41001
Pioneer P93M50,Pioneer P93M90,RJS41002
ZB42L06,Pioneer P94Y60,RJS41003
Pioneer P93Y70,XB39W06,RJS41004
CP3907A4-D0RN,OX3707A3-D0YN,RJS41007R2
Pioneer P94M30,YB34R03,RJS42001
YB36V00,Pioneer P94M70,RJS42002
Pioneer P93M61,RJS41001,RJS42004
Pioneer P94Y21,Pioneer P94Y01,RJS42005
Pioneer P94Y30,XB40H09,RJS42006
Pioneer P93M95,XB44W04,RJS43003
31713H013,Pioneer P94M70,RJS44001
Pioneer P93M42,Pioneer P94Y60,RJS44002
Pioneer P93Y70,Pioneer P94Y60,RJS44003
Pioneer P94Y01,Pioneer P94Y70,RJS44005
Unspecified,Unspecified,RJS44009R
YB32K01,Pioneer P94B74,RJS45001
Pioneer P94M50,XB41B05,RJS45002
Pioneer P93M42,Pioneer P94M90,RJS46001
YB48M01,Pioneer P93M42,RJS46002
ME3908128,YB48U05,RJS46003
Pioneer P94Y01,Pioneer P94Y70,RJS46005
RJS30002,Pioneer P94Y70,RJS46006
Pioneer P94Y30,XB40H09,RJS46007SR
T00038H005,Pioneer P94B74,RJS47001
Pioneer P92M40,Pioneer P94M90,RJS47002
YB48M01,Pioneer P94B73,RJS47004
Syngenta S42-H1,Pioneer P94M90,RJS47006
Unspecified,Unspecified,RJS47007
Pioneer P94M30,HL9476156,RJS47008
Pioneer P94Y91,Pioneer P94Y80,RJS47011
RJS39003,Pioneer P94Y60,RJS47012
Pioneer P94Y70,HL17619026,RJS47015R
Unspecified,Unspecified,RJS47016R
Syngenta S32-Z3,Pioneer P94M90,RJS48001
Pioneer P93B86,H04433,RJS48002
YB48M01,Pioneer P94M30,RJS48005
Pioneer P94M80,Pioneer P94M70,RJS48006
Pioneer P93B86,HL5078266,RJS48007
Pioneer P94Y80,Pioneer P94Y70,RJS48011R
Pioneer P93Y92,Pioneer P94Y70,RJS48012R
Unspecified,Unspecified,RJS48014X
Pioneer P94B13,Pioneer P94B74,RJS49001
EX48Q02,Pioneer P94M70,RJS49002
YB48M01,Pioneer P94B73,RJS49003
Pioneer P94M70,XB49K04,RJS49004
Pioneer P94M70,XB49K04,RJS49005
Pioneer P94M80,Pioneer P94M90,RJS49006
Pioneer P94M70,XB49K04,RJS49007
Pioneer P93Y70,Pioneer P94Y70,RJS49012
Pioneer P94Y20,Pioneer P94Y70,RJS49015R
Pioneer P94Y70,Pioneer P95Y20,RJS49016R
GL4708A1-D0YN,GL4408D55-G0RN,RJS49017R2
Pioneer P94B73,HL8180531,RJS50001
Pioneer P94M70,Pioneer P94M90,RJS50002
Pioneer P93Y92,Pioneer P94Y70,RJS50005R
XB42J00,XB53E02,RJS51001
Unspecified,Unspecified,RJS51006SR
Pioneer P94M80,Pioneer P94Y70,RJS52003
Pioneer P95M30,Pioneer P95M50,RJS53001
Pioneer P95B33,Pioneer P95M50,RJS53002
Ozark,EX56N05,RJS53003
Pioneer P93B86,G00167G017,RJS53004
Unspecified,Unspecified,RJS53008R
71128G100,71865T001,RJS54001
G00450T009,Pioneer P95M50,RJS54003
Pioneer P95M30,Pioneer P95M50,RJS54004
Pioneer P95Y40,Pioneer P95Y20,RJS54005
Pioneer P93B86,G00167G017,RJS55002
Pioneer P95B97,YB58L04,RJS55003
Pioneer P93B86,G00167G017,RJS55004
RJS57003,Pioneer P95M80,RJS55005R
Unspecified,Unspecified,RJS55006R
Unspecified,Unspecified,RJS56001
ZB58A03,YB56G03,RJS56002
71288G134,YB54N02,RJS57001
ZB58A03,YB58L04,RJS57002
71165G032,YB54M02,RJS57003
Unspecified,Unspecified,RJS57005SR
Unspecified,Unspecified,RJS58001R
Ozark,EX56N05,RJS59001
Unspecified,Unspecified,RJS68001R
N05-7462,NC6208A7-B0YN,RJS72001R2
Pioneer P93B75,G00167G017,RJS73001
Unspecified,Unspecified,RO-711
Unspecified,Unspecified,RO-727
Altona,Wells,Rockford
C1453,:66L-140,RS 2300
Unspecified,Unspecified,RS 2330
Unspecified,Unspecified,Ruby
Unspecified,Unspecified,Rupp-1
Pioneer P93B65,90731S043,S01555
Pioneer P93B65,S01555,S02339
Syngenta S25-J5,Syngenta S37-N4,S06-02JR423003
Unspecified,Unspecified,S06-CL968413
CM4035N,Syngneta S43-B1,S07-03JR103829
Unspecified,Unspecified,S331
IVR 1120,SL12,S-48
Pioneer P93B86,Pioneer P93B67,S85074
Pioneer P93B86,S85074,S85085
Hood,Lee,Sanalona
Conrad,Hayes,Sandusky
Coker 82-622,Hutcheson,Santee
Lambert (2),ResnikRR,SD1092RR
A97-771039,SD1081RR,SD1111RR
Lambert (2),ResnikRR,SD1151RR
IA1008,SD10181RR,SD1161RR/SCN
Asgrow A4459,(((Asgrow A 3313*Asgrow 3733)*Pioneer P9303)*(Asgrow 4922 (2)*MON40-3-2)),SE71112
Asgrow A3904,AG5401,SE73206
Asgrow A5843,(Asgrow A5403*(Asgrow 3205*W20))*MON40-3-2),SE73224
Asgrow A5959 (2),AG6101,SE80014
Hartz 4994RR,(Hutcheson*Hartz 4994RR),SE84950
Asgrow A5959,(Asgrow A5848*(Asgrow 5403*MON40-3-2)),SE90345
Harosoy,Bellatti L-263,Seedmakers I-E
Unspecified,Unspecified,SF477RR
Unspecified,Unspecified,SF567RR
CM428,(Pioneer P9592*(DPL 415*(DPX 2384*MON40-3-2))),SG 468 RR
CM428,(Pioneer P9592*(DPL 415*(DPX 2384*MON40-3-2))),SG 498 RR
Pioneer P9592,(DPL 415*(DPX 2384*MON40-3-2)),SG 567 RR
Unspecified,Unspecified,SG 597 RR
Asgrow A5979,(Pioneer P9592*(DPL 415*(DPX 2384*MON40-3-2))),SG 617 RR
DPL 3682,(Hutcheson*(DPL 415*(DPX 2384 (2)*MON40-3-2))),SG 678 RR
Pioneer P9584,(Cook*(Buckshot 723*(DPX 2384 (2)*MON40-3-2))),SG 708 RR
H5088,(Cook*(Buckshot 723*(DPX 2384 (2)*MON40-3-2))),SG 759 RR
02JR318004 (5),3607F9-AOYN,SG08002123
